,0
2018,160.61
2017,169.99
2016,163.33
2015,170.3
2014,164.34
2013,158.86
2012,163.59
2011,176.34
2010,188.86
2009,178.06
2008,156.76
2007,163.4
2006,174.64
2005,175.9
2004,178.97
2003,164.91
2002,181.42
2001,155.01
2000,150.43
1999,158.02
1998,135.98
1997,134.85
1996,121.17
1995,105.1
1994,95.88
1993,90.73
1992,87.51
1991,74.02
1990,66.44
1989,61.55
1988,60.49
1987,65.82
1986,56.46
1985,56.63
1984,53.3
1983,62.26
1982,47.34
1981,50.84
1980,49.68
1979,52.813559322033896
1978,46.14
1977,41.94
1976,38.3
1975,44.285714285714285
1974,56.326530612244895
1973,48.93877551020408
1972,39.6
1971,42.84
1970,46.5
1969,42.54
1968,40.14
1967,40.62
1966,41.425
1965,45.8
1964,42.9
