,0
2018,45.93
2017,46.79
2016,50.97
2015,65.79
2014,46.18
2013,54.43
2012,66.29
2011,70.47
2010,80.76
2009,70.49
2008,42.99
2007,22.06
2006,32.6
2005,28.03
2004,32.46
2003,26.87
2002,30.34
2001,26.38
2000,19.75
1999,27.01010101010101
1998,11.27
1997,6.87
1996,5.04
1995,2.686868686868687
1994,3.05
1993,4.505050505050505
1992,0.9072164948453608
1991,1.0833333333333333
1990,1.5204081632653061
1989,0.7708333333333334
1988,0.6041666666666666
1987,2.438775510204082
1986,0.13978494623655913
1985,0.042105263157894736
1984,0.34782608695652173
1983,0.1
1982,0.20408163265306123
1981,0.10638297872340426
1980,0.29545454545454547
1979,1.8571428571428572
1978,0.125
1977,0.06521739130434782
1976,0.0
1975,0.0
1974,0.041666666666666664
1973,1.5106382978723405
1972,0.0425531914893617
1971,1.8
1970,0.0851063829787234
1969,1.9047619047619047
1968,0.0
1967,0.025
1966,0.0
1965,0.0
1964,0.0
